Employee_ID,Department,Years_of_Experience,Monthly_Salary,Performance_Score
2001,HR,6,79835,2
2002,IT,4,44123,1
2003,IT,6,32640,6
2004,HR,9,22926,2
2005,Finance,12,55211,7
2006,IT,3,76930,4
2007,IT,6,67529,8
2008,Finance,10,30228,4
2009,Marketing,2,76912,2
2010,Finance,1,34797,10
2011,Marketing,1,74341,7
2012,Finance,5,70149,4
2013,Marketing,3,61403,10
2014,HR,14,50043,7
2015,Marketing,1,57236,6
2016,Finance,10,38157,4
2017,Marketing,14,54695,7
2018,HR,1,46491,9
2019,Marketing,9,67035,3
2020,HR,7,62512,1
