Movie_ID,Genre,Duration_Minutes,IMDB_Rating,Box_Office_Millions
4001,Thriller,168,6.8,77.3
4002,Thriller,155,6.1,132.1
4003,Action,125,7.8,276.1
4004,Comedy,177,9.5,437.8
4005,Action,98,6.2,222.4
4006,Action,109,9.1,289.3
4007,Drama,154,6.6,440.9
4008,Action,95,7.3,136.5
4009,Thriller,150,7.6,397.3
4010,Thriller,104,6.6,486.9
4011,Thriller,131,8.6,370.3
4012,Drama,105,7.6,74.4
4013,Thriller,119,8.0,277.4
4014,Thriller,166,9.0,35.9
4015,Drama,166,5.2,277.1
4016,Comedy,140,5.3,343.2
4017,Action,153,7.1,459.5
4018,Comedy,176,6.9,295.1
4019,Drama,152,7.2,305.8
4020,Drama,99,5.7,241.7
